"GEO_ID","NAME","B25077_001E","B25077_001M",
"Geography","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)",
"1400000US53029971600","Census Tract 9716; Island County; Washington","473700","41518",
"1400000US53029971700","Census Tract 9717; Island County; Washington","547200","83519",
"1400000US53029971800","Census Tract 9718; Island County; Washington","642300","70570",
"1400000US53029971900","Census Tract 9719; Island County; Washington","572300","104773",
"1400000US53029972000","Census Tract 9720; Island County; Washington","616900","39857",
"1400000US53029972100","Census Tract 9721; Island County; Washington","636900","38670",
"1400000US53029992201","Census Tract 9922.01; Island County; Washington","-","**",
"1400000US53031950202","Census Tract 9502.02; Jefferson County; Washington","356300","66269",
"1400000US53031950301","Census Tract 9503.01; Jefferson County; Washington","603400","61961",
"1400000US53031950302","Census Tract 9503.02; Jefferson County; Washington","552800","65635",
"1400000US53031950400","Census Tract 9504; Jefferson County; Washington","367900","30431",
"1400000US53031950501","Census Tract 9505.01; Jefferson County; Washington","523800","108349",
"1400000US53031950502","Census Tract 9505.02; Jefferson County; Washington","579800","37011",
"1400000US53031950602","Census Tract 9506.02; Jefferson County; Washington","451000","44051",
"1400000US53031950603","Census Tract 9506.03; Jefferson County; Washington","508200","75081",
"1400000US53031950604","Census Tract 9506.04; Jefferson County; Washington","589200","71560",
"1400000US53031950702","Census Tract 9507.02; Jefferson County; Washington","239400","46173",
"1400000US53031990000","Census Tract 9900; Jefferson County; Washington","-","**",
"1400000US53033000101","Census Tract 1.01; King County; Washington","808700","227076",
"1400000US53033000102","Census Tract 1.02; King County; Washington","934600","151195",
"1400000US53033000201","Census Tract 2.01; King County; Washington","705400","154100",
"1400000US53033000202","Census Tract 2.02; King County; Washington","800700","59920",
"1400000US53033000300","Census Tract 3; King County; Washington","652500","19220",
"1400000US53033000402","Census Tract 4.02; King County; Washington","792900","74573",
"1400000US53033000403","Census Tract 4.03; King County; Washington","626300","80600",
"1400000US53033000404","Census Tract 4.04; King County; Washington","394100","93006",
